,date,secid,open,close,low,high,volume,currency,capitalization
844,2012-09-04,MOEXBC,9852.77,9826.43,9811.86,9876.46,2164578319.7918,RUB,4047088860899.56
845,2012-09-05,MOEXBC,9826.43,9717.11,9706.75,9843.63,2563393161.095,RUB,4002063826080.57
846,2012-09-06,MOEXBC,9717.11,9938.6,9702.06,9950.69,2968332845.176,RUB,4093285832634.49
847,2012-09-07,MOEXBC,9938.6,10068.94,9931.12,10137.25,2758605968.04,RUB,4146969725851.42
848,2012-09-10,MOEXBC,10068.94,10109.57,10034.15,10125.82,1937253922.834,RUB,4163703010323.85
849,2012-09-11,MOEXBC,10109.57,10108.79,10029.61,10116.26,1943451176.965,RUB,4163379842259.69
850,2012-09-12,MOEXBC,10108.79,10119.27,10064.75,10142.54,2751722339.8785,RUB,4167697752974.76
851,2012-09-13,MOEXBC,10119.27,10092.17,10056.73,10124.44,1969695641.89,RUB,4156534599859.99
852,2012-09-14,MOEXBC,10092.17,10520.44,10087.1,10540.6,3571742752.38,RUB,4332920195090.91
853,2012-09-17,MOEXBC,10520.44,10496.82,10403.4,10545.94,2510377561.0735,RUB,4323192804036.2
854,2012-09-18,MOEXBC,10496.82,10375.97,10375.23,10559.08,2337046417.58,RUB,4225495431470.43
855,2012-09-19,MOEXBC,10375.97,10284.84,10224.7,10477.24,3610508435.46,RUB,4188381627371.28
856,2012-09-20,MOEXBC,10284.84,10281.18,10180.37,10318.7,2124690687.26,RUB,4186894177253.98
857,2012-09-21,MOEXBC,10281.18,10231.82,10231.82,10349.15,2493421074.81,RUB,4166793173954.94
858,2012-09-24,MOEXBC,10231.82,10187.22,10120.85,10239.58,1689500547.52,RUB,4148629040699.66
859,2012-09-25,MOEXBC,10187.22,10147.25,10135.4,10255.81,1327529966.332,RUB,4132350350827.43
860,2012-09-26,MOEXBC,10147.25,9910.4,9892.52,10163.29,1560308670.95,RUB,4035895602767.21
861,2012-09-27,MOEXBC,9910.4,9942.19,9851.88,9996.78,1890880498.32,RUB,4048843905728.56
862,2012-09-28,MOEXBC,9942.19,9986.09,9941.04,10037.87,1840172483.33,RUB,4066722248541.35
863,2012-10-01,MOEXBC,9986.09,10176.69,9951.65,10183.49,1716280084.89,RUB,4144339562949.41
864,2012-10-02,MOEXBC,10176.69,10123.64,10087.36,10186.22,2182033826.28,RUB,4122734769151.21
865,2012-10-03,MOEXBC,10123.64,10055.01,10031.97,10129.07,1482701593.32,RUB,4094785929044.6
866,2012-10-04,MOEXBC,10055.01,9965.04,9920.55,10085.84,2160315816.6,RUB,4058146763373.56
867,2012-10-05,MOEXBC,9965.04,10105.33,9935.95,10174.17,2010666287.44,RUB,4115278261124.02
868,2012-10-08,MOEXBC,10105.33,10080.13,9993.52,10105.33,1528448588.87,RUB,4105019048131.5
869,2012-10-09,MOEXBC,10080.13,10083.12,10057.29,10132.09,1749778413.19,RUB,4106236959704.65
870,2012-10-10,MOEXBC,10083.12,9999.36,9981.51,10083.12,1645884284.47,RUB,4072126891293.07
871,2012-10-11,MOEXBC,9999.36,10014.97,9953.09,10046.9,2025654902.49,RUB,4078483039756.28
872,2012-10-12,MOEXBC,10014.97,9903.99,9865.94,10021.5,1483395140.088,RUB,4033285716252.31
873,2012-10-15,MOEXBC,9903.99,9890.99,9869.46,9966.19,1678188623.83,RUB,4027991804613.32
874,2012-10-16,MOEXBC,9890.99,9971.21,9872.55,9971.21,1566081079.5028,RUB,4060663167187.56
875,2012-10-17,MOEXBC,9971.21,10082.99,9964.6,10113.73,2060895796.939,RUB,4106181992492.92
876,2012-10-18,MOEXBC,10082.99,10104.58,10029.18,10161.32,1961012975.2115,RUB,4114973441508.38
877,2012-10-19,MOEXBC,10104.58,9999.82,9985.54,10128.44,1573926146.34,RUB,4072314196428.34
878,2012-10-22,MOEXBC,9999.82,10105.58,9950.4,10113.37,1679774517.05,RUB,4115383392839.48
879,2012-10-23,MOEXBC,10105.58,9984.2,9952.9,10119.69,1927379662.14,RUB,4065949265424.2
880,2012-10-24,MOEXBC,9984.2,9970.44,9881.69,10034.03,2377105270.27,RUB,4060347871643.71
881,2012-10-25,MOEXBC,9970.44,9940.91,9917.31,10014.56,2502059820.05,RUB,4048321558043.74
882,2012-10-26,MOEXBC,9940.91,9855.78,9795.61,9947.34,2509548540.555,RUB,4013653413494.23
883,2012-10-29,MOEXBC,9855.78,9837.46,9781.04,9873.17,2126965984.91,RUB,4006191156478.61
884,2012-10-30,MOEXBC,9837.46,9768.51,9754.75,9883,2356759655.2254,RUB,3978115185528.29
885,2012-10-31,MOEXBC,9768.51,9769.9,9750.35,9852.6,2035865572.99,RUB,3978679534827.16
886,2012-11-01,MOEXBC,9769.9,9847.16,9667.08,9851.13,2401087908.2688,RUB,4010142613348.96
887,2012-11-02,MOEXBC,9847.16,9904.7,9838.74,9938.55,1930266616.3006,RUB,4033576223082.38
888,2012-11-06,MOEXBC,9904.7,9934.73,9872.75,9963.74,1813478298.306,RUB,4045804417252.3
889,2012-11-07,MOEXBC,9934.73,9767.73,9767.73,9968.23,2980558866.1181,RUB,3977797431443.44
890,2012-11-08,MOEXBC,9767.73,9660.05,9580.21,9779.9,2270305457.08,RUB,3933942868773
891,2012-11-09,MOEXBC,9660.05,9616.99,9558.37,9660.05,3175218171.25,RUB,3916410570031.76
892,2012-11-12,MOEXBC,9616.99,9652.99,9564.71,9672.29,2147006558.05,RUB,3931068071665.68
893,2012-11-13,MOEXBC,9652.99,9414.88,9388.86,9667.8,3263061317.16,RUB,3834101888950.93
894,2012-11-14,MOEXBC,9414.88,9392.7,9317.64,9456.05,3447783984.18,RUB,3825069464092.98
895,2012-11-15,MOEXBC,9392.7,9516.32,9352.53,9524.92,2713820208.46,RUB,3875413556964.22
896,2012-11-16,MOEXBC,9516.32,9475.69,9421.89,9530.79,2365111332.14,RUB,3858866177384.07
897,2012-11-19,MOEXBC,9475.69,9576.59,9452.91,9582.61,2113219964.32,RUB,3899955056942.11
898,2012-11-20,MOEXBC,9576.59,9552.66,9503,9590.88,2057796255.04,RUB,3890212429733.48
899,2012-11-21,MOEXBC,9552.66,9611.92,9490.84,9627.18,2261250900.45,RUB,3914343059593.47
900,2012-11-22,MOEXBC,9611.92,9591.85,9580.86,9643.9,1668718276.6715,RUB,3906171989735.82
901,2012-11-23,MOEXBC,9591.85,9641.73,9578.05,9642.96,1743333712.74,RUB,3926485654392.51
902,2012-11-26,MOEXBC,9641.73,9591.94,9572.88,9686.2,1584931796.0199,RUB,3906206459396.07
903,2012-11-27,MOEXBC,9591.94,9523.94,9509.7,9645.54,1474483589.04,RUB,3878517167385.47
904,2012-11-28,MOEXBC,9523.94,9441.34,9418.92,9531.34,1782543488.9585,RUB,3844879418134.23
905,2012-11-29,MOEXBC,9441.34,9487.21,9411.36,9532.1,1701780001.12,RUB,3863558299635.78
906,2012-11-30,MOEXBC,9487.21,9624.04,9451.16,9640.7,2228828114.38,RUB,3919278531296.55
907,2012-12-03,MOEXBC,9624.04,9703.57,9593.44,9703.92,1652402233.54,RUB,3951666995428.23
