,date,open,high,low,close,volume,capitalization,currency,secid
1700,2002-07-22,3.1378,3.1378,3.1378,3.1378,0.0,0.0,USD,STOOQ:rubeur
1701,2002-07-23,3.2095,3.2095,3.2095,3.2095,0.0,0.0,USD,STOOQ:rubeur
1702,2002-07-24,3.2074,3.2074,3.2074,3.2074,0.0,0.0,USD,STOOQ:rubeur
1703,2002-07-25,3.1684,3.1684,3.1684,3.1684,0.0,0.0,USD,STOOQ:rubeur
1704,2002-07-26,3.1717,3.1717,3.1717,3.1717,0.0,0.0,USD,STOOQ:rubeur
1705,2002-07-29,3.2197,3.2197,3.2197,3.2197,0.0,0.0,USD,STOOQ:rubeur
1706,2002-07-30,3.2344,3.2344,3.2344,3.2344,0.0,0.0,USD,STOOQ:rubeur
1707,2002-07-31,3.2392,3.2392,3.2392,3.2392,0.0,0.0,USD,STOOQ:rubeur
1708,2002-08-01,3.2535,3.2535,3.2535,3.2535,0.0,0.0,USD,STOOQ:rubeur
1709,2002-08-02,3.2086,3.2086,3.2086,3.2086,0.0,0.0,USD,STOOQ:rubeur
1710,2002-08-05,3.2185,3.2185,3.2185,3.2185,0.0,0.0,USD,STOOQ:rubeur
1711,2002-08-06,3.2741,3.2741,3.2741,3.2741,0.0,0.0,USD,STOOQ:rubeur
1712,2002-08-07,3.2709,3.2709,3.2709,3.2709,0.0,0.0,USD,STOOQ:rubeur
1713,2002-08-08,3.2592,3.2592,3.2592,3.2592,0.0,0.0,USD,STOOQ:rubeur
1714,2002-08-09,3.2591,3.2591,3.2591,3.2591,0.0,0.0,USD,STOOQ:rubeur
1715,2002-08-12,3.2568,3.2568,3.2568,3.2568,0.0,0.0,USD,STOOQ:rubeur
1716,2002-08-13,3.2432,3.2432,3.2432,3.2432,0.0,0.0,USD,STOOQ:rubeur
1717,2002-08-14,3.2078,3.2078,3.2078,3.2078,0.0,0.0,USD,STOOQ:rubeur
1718,2002-08-16,3.2346,3.2346,3.2346,3.2346,0.0,0.0,USD,STOOQ:rubeur
1719,2002-08-19,3.2231,3.2231,3.2231,3.2231,0.0,0.0,USD,STOOQ:rubeur
1720,2002-08-20,3.2311,3.2311,3.2311,3.2311,0.0,0.0,USD,STOOQ:rubeur
1721,2002-08-21,3.2293,3.2293,3.2293,3.2293,0.0,0.0,USD,STOOQ:rubeur
1722,2002-08-22,3.2397,3.2397,3.2397,3.2397,0.0,0.0,USD,STOOQ:rubeur
1723,2002-08-23,3.2691,3.2691,3.2691,3.2691,0.0,0.0,USD,STOOQ:rubeur
1724,2002-08-26,3.2632,3.2632,3.2632,3.2632,0.0,0.0,USD,STOOQ:rubeur
1725,2002-08-27,3.2452,3.2452,3.2452,3.2452,0.0,0.0,USD,STOOQ:rubeur
1726,2002-08-28,3.2281,3.2281,3.2281,3.2281,0.0,0.0,USD,STOOQ:rubeur
1727,2002-08-29,3.2067,3.2067,3.2067,3.2067,0.0,0.0,USD,STOOQ:rubeur
1728,2002-08-30,3.2111,3.2111,3.2111,3.2111,0.0,0.0,USD,STOOQ:rubeur
1729,2002-09-02,3.2224,3.2224,3.2224,3.2224,0.0,0.0,USD,STOOQ:rubeur
1730,2002-09-03,3.1958,3.1958,3.1958,3.1958,0.0,0.0,USD,STOOQ:rubeur
1731,2002-09-04,3.1807,3.1807,3.1807,3.1807,0.0,0.0,USD,STOOQ:rubeur
1732,2002-09-05,3.1693,3.1693,3.1693,3.1693,0.0,0.0,USD,STOOQ:rubeur
1733,2002-09-06,3.187,3.187,3.187,3.187,0.0,0.0,USD,STOOQ:rubeur
1734,2002-09-09,3.2261,3.2261,3.2261,3.2261,0.0,0.0,USD,STOOQ:rubeur
1735,2002-09-10,3.2363,3.2363,3.2363,3.2363,0.0,0.0,USD,STOOQ:rubeur
1736,2002-09-11,3.2398,3.2398,3.2398,3.2398,0.0,0.0,USD,STOOQ:rubeur
1737,2002-09-12,3.2342,3.2342,3.2342,3.2342,0.0,0.0,USD,STOOQ:rubeur
1738,2002-09-13,3.2198,3.2198,3.2198,3.2198,0.0,0.0,USD,STOOQ:rubeur
1739,2002-09-16,3.2589,3.2589,3.2589,3.2589,0.0,0.0,USD,STOOQ:rubeur
1740,2002-09-17,3.2882,3.2882,3.2882,3.2882,0.0,0.0,USD,STOOQ:rubeur
1741,2002-09-18,3.2467,3.2467,3.2467,3.2467,0.0,0.0,USD,STOOQ:rubeur
1742,2002-09-19,3.2234,3.2234,3.2234,3.2234,0.0,0.0,USD,STOOQ:rubeur
1743,2002-09-20,3.2085,3.2085,3.2085,3.2085,0.0,0.0,USD,STOOQ:rubeur
1744,2002-09-23,3.2067,3.2067,3.2067,3.2067,0.0,0.0,USD,STOOQ:rubeur
1745,2002-09-24,3.2347,3.2347,3.2347,3.2347,0.0,0.0,USD,STOOQ:rubeur
1746,2002-09-25,3.2155,3.2155,3.2155,3.2155,0.0,0.0,USD,STOOQ:rubeur
1747,2002-09-26,3.2248,3.2248,3.2248,3.2248,0.0,0.0,USD,STOOQ:rubeur
1748,2002-09-27,3.2229,3.2229,3.2229,3.2229,0.0,0.0,USD,STOOQ:rubeur
1749,2002-09-30,3.2066,3.2066,3.2066,3.2066,0.0,0.0,USD,STOOQ:rubeur
1750,2002-10-01,3.1917,3.1917,3.1917,3.1917,0.0,0.0,USD,STOOQ:rubeur
1751,2002-10-02,3.2117,3.2117,3.2117,3.2117,0.0,0.0,USD,STOOQ:rubeur
1752,2002-10-03,3.1922,3.1922,3.1922,3.1922,0.0,0.0,USD,STOOQ:rubeur
1753,2002-10-04,3.1985,3.1985,3.1985,3.1985,0.0,0.0,USD,STOOQ:rubeur
1754,2002-10-07,3.2206,3.2206,3.2206,3.2206,0.0,0.0,USD,STOOQ:rubeur
1755,2002-10-08,3.22,3.22,3.22,3.22,0.0,0.0,USD,STOOQ:rubeur
1756,2002-10-09,3.222,3.222,3.222,3.222,0.0,0.0,USD,STOOQ:rubeur
1757,2002-10-10,3.1832,3.1832,3.1832,3.1832,0.0,0.0,USD,STOOQ:rubeur
1758,2002-10-11,3.1973,3.1973,3.1973,3.1973,0.0,0.0,USD,STOOQ:rubeur
1759,2002-10-14,3.1936,3.1936,3.1936,3.1936,0.0,0.0,USD,STOOQ:rubeur
1760,2002-10-15,3.2108,3.2108,3.2108,3.2108,0.0,0.0,USD,STOOQ:rubeur
1761,2002-10-16,3.219,3.219,3.219,3.219,0.0,0.0,USD,STOOQ:rubeur
1762,2002-10-17,3.2285,3.2285,3.2285,3.2285,0.0,0.0,USD,STOOQ:rubeur
1763,2002-10-18,3.2458,3.2458,3.2458,3.2458,0.0,0.0,USD,STOOQ:rubeur
1764,2002-10-21,3.2295,3.2295,3.2295,3.2295,0.0,0.0,USD,STOOQ:rubeur
1765,2002-10-22,3.2298,3.2298,3.2298,3.2298,0.0,0.0,USD,STOOQ:rubeur
1766,2002-10-23,3.2177,3.2177,3.2177,3.2177,0.0,0.0,USD,STOOQ:rubeur
1767,2002-10-24,3.235,3.235,3.235,3.235,0.0,0.0,USD,STOOQ:rubeur
1768,2002-10-25,3.2206,3.2206,3.2206,3.2206,0.0,0.0,USD,STOOQ:rubeur
