,date,secid,open,close,low,high,volume,currency,capitalization
1426,2001-05-17,RTSI,197.8483,200.3795,197.8483,201.2443,32290371,USD,45240713935.6029
1427,2001-05-18,RTSI,200.2261,203.092,200.1019,203.092,28235797,USD,45853138267.6845
1428,2001-05-21,RTSI,205.4186,207.1738,205.4186,207.9923,36924565,USD,46776009860.6114
1429,2001-05-22,RTSI,208.6891,205.6702,205.6702,209.4452,29652148,USD,46436520838.2888
1430,2001-05-23,RTSI,204.8128,207.9026,204.8128,208.2174,17121347,USD,46940546491.9996
1431,2001-05-24,RTSI,207.3219,205.0818,204.9394,207.9068,20151489,USD,46303672437.2279
1432,2001-05-25,RTSI,205.4877,201.954,201.2726,205.4877,22645922,USD,45597467422.9293
1433,2001-05-28,RTSI,200.0046,201.6013,200.0046,201.6013,6272436,USD,45517833875.0063
1434,2001-05-29,RTSI,204.3261,202.2794,202.2794,205.0894,14700208,USD,45670948834.3286
1435,2001-05-30,RTSI,202.4151,205.5478,202.3816,205.9419,16212250,USD,46408896448.3965
1436,2001-05-31,RTSI,205.9729,208.7959,205.9729,209.5971,17380572,USD,47142239691.9502
1437,2001-06-01,RTSI,208.82,213.47,208.53,213.47,29614667,USD,48196681104.2394
1438,2001-06-04,RTSI,218.14,218.18,218.14,219.64,32301855,USD,49260768781.1337
1439,2001-06-05,RTSI,217,212.38,212.38,217,18749841,USD,47951372110.6747
1440,2001-06-06,RTSI,214.32,213.41,212.68,214.32,20634504,USD,48185151297.9414
1441,2001-06-07,RTSI,210.05,209.3,208.58,210.05,15346538,USD,47255192289.5139
1442,2001-06-08,RTSI,212.13,211.45,211.45,214.99,17074084,USD,47740944336.5769
1443,2001-06-09,RTSI,211.35,211.61,211.11,211.61,3802810,USD,47778300398.2131
1444,2001-06-13,RTSI,210.44,210.14,209.36,210.44,15300125,USD,47444954522.2428
1445,2001-06-14,RTSI,209.52,207.97,207.25,209.52,11479149,USD,46956587088.7844
1446,2001-06-15,RTSI,209.12,210.33,209.12,211.01,23154564,USD,47488950833.3368
1447,2001-06-18,RTSI,212.72,214.94,212.72,215.26,15190232,USD,48530248881.3775
1448,2001-06-19,RTSI,217.76,220.08,217.76,220.08,39366464,USD,49689866006.1536
1449,2001-06-20,RTSI,218.92,219.42,218.35,219.56,33308812,USD,49738211273.1394
1450,2001-06-21,RTSI,220.51,221.82,220.51,221.95,24732511,USD,50282596218.4924
1451,2001-06-22,RTSI,224.82,227.87,224.82,229.28,49746305,USD,51654318252.9355
1452,2001-06-25,RTSI,228.98,224.95,224.95,228.98,17373470,USD,50992641910.426
1453,2001-06-26,RTSI,225.24,222.4,221.98,225.24,23340275,USD,50415293457.0742
1454,2001-06-27,RTSI,222.73,222,221.69,222.73,15363009,USD,50324100358.7552
1455,2001-06-28,RTSI,219.02,218.91,216.58,220.68,40919681,USD,49624531652.0059
1456,2001-06-29,RTSI,218.75,216.11,214.94,218.75,23938932,USD,48988765246.9933
1457,2001-07-02,RTSI,216.51,214.79,214.79,216.59,8519477,USD,48517407858.4782
1458,2001-07-03,RTSI,213.74,212.54,212.54,213.74,9352540,USD,48008744129.8632
1459,2001-07-04,RTSI,210.86,214.42,210.86,214.42,34828280,USD,48434822645.7239
1460,2001-07-05,RTSI,214.88,218.08,213.85,218.08,38790322,USD,49260586715.7245
1461,2001-07-06,RTSI,214.94,212.74,212.74,215.04,18478834,USD,48054006029.6103
1462,2001-07-09,RTSI,211.76,209.19,207.96,211.76,25596735,USD,47252767299.5712
1463,2001-07-10,RTSI,209.34,207.88,207.88,210.99,22710565,USD,46956621588.2402
1464,2001-07-11,RTSI,201.02,196.13,195.73,201.02,32374378,USD,44302616151.3294
1465,2001-07-12,RTSI,199.34,200.76,198.74,204.98,43167218,USD,45347368445.5071
