Id;NAME;Cap;EV;Выручка;Чистаяприбыль;P/E;P/S;P/B;EV/EBITDA;долг/EBITDA;cluster
166;Химпром;2.0;6.0;15.0;0.9;2.1;0.1;0.6;2.8;1.9;1
167;ТНС энерго Марий Эл;2.0;2.0;7.0;0.3;6.9;0.2;1.6;6.5;1.8;1
168;Нижнекамскшина;2.0;4.0;7.0;-4.2;-0.4;0.2;-0.7;-0.7;-0.4;1
169;Россети Томск (ТРК);2.0;1.0;7.0;-0.3;-4.6;0.2;0.5;13.5;-0.6;1
170;ЧЗПСН;1.0;3.0;6.0;0.0;72.8;0.3;0.1;18.4;9.9;4
171;Сахалинэнерго;1.0;3.0;10.0;-2.7;-0.5;0.1;0.5;0.6;0.3;1
172;РБК;1.0;15.0;6.0;0.5;2.8;0.2;-0.1;11.7;10.6;1
174;Росинтер;1.0;6.0;4.0;-1.8;-0.6;0.3;-0.3;3.1;2.5;1
175;ММЦБ;1.0;1.0;0.0;0.1;8.5;4.3;5.9;6.7;-0.2;1
178;Калужская сбытовая компания;1.0;5.0;22.0;0.1;11.6;0.0;0.9;8.2;6.5;1
179;Фармсинтез;1.0;1.0;0.0;-0.5;-1.8;2.4;1.5;-2.8;-0.8;1
180;Челябэнергосбыт;1.0;7.0;40.0;0.2;5.0;0.0;1.0;12.3;10.8;1
191;Омскшина;0.0;0.0;11.0;0.0;14.5;0.0;0.3;2.3;0.1;1
194;ВХЗ;0.0;1.0;3.0;0.0;9.0;0.1;1.0;7.8;4.4;1
196;Наука-Связь;0.0;1.0;1.0;0.0;7.1;0.2;0.3;2.1;1.2;1
198;Мультисистема;0.0;0.0;1.0;0.0;65.4;0.4;2.5;46.4;7.2;4
201;Владимирэнергосбыт;0.0;0.0;0.0;-0.5;-0.2;0.4;-0.3;20.0;14.1;1
202;Медиахолдинг;0.0;0.0;0.0;-0.3;-0.2;79.2;-2.1;-1.1;-0.8;1
205;ТКСМ;0.0;0.0;0.0;0.0;4.8;0.3;0.6;3.5;0.0;1
206;МедиаВиМ;0.0;0.0;0.0;0.0;2.7;0.1;0.1;2.1;0.0;1
212;КМЗ;4.63;0.0;2.0;0.2;0.0;0.0;0.0;9.22;-1.0;1
216;КОКС;2.34;38.0;92.0;-14.4;0.0;0.03;0.0;2.2;2.2;1
217;Физика;1.07;0.97;1.0;0.2;6.0;1.84;0.37;2.6;-0.27;1
219;Самолет;147.17;29.0;60.0;3.2;0.0;0.0;0.0;2.4;2.4;1
222;Евраз;4.28;237.0;704.0;61.2;0.0;0.0;0.0;1.5;1.5;1
224;Морион;0.71;0.0;2.0;0.2;0.0;0.0;0.0;-2.0;-2.0;1
225;Т Плюс;0.0;126.0;384.0;11.3;0.0;0.0;0.0;2.3;2.3;1
227;Уралкалий;151.01;310.0;195.0;-2.2;0.0;0.0;0.0;3.5;3.5;1
Id;NAME;Cap;EV;Выручка;Чистаяприбыль;P/E;P/S;P/B;EV/EBITDA;долг/EBITDA;cluster
1;Газпром;6741.0;10613.0;6321.0;0.1;49934.2;1.1;0.5;7.2;2.6;2
2;Роснефть;5361.0;9146.0;5757.0;324.0;16.5;0.9;1.2;7.6;3.1;1
3;НОВАТЭК;4955.0;5058.0;712.0;169.0;29.3;7.0;3.1;12.9;0.3;1
4;Лукойл;4101.0;4417.0;5639.0;15.2;269.8;0.7;1.0;6.4;0.5;7
5;ГМК Норникель;4000.0;4329.0;1117.0;245.4;16.3;3.6;14.2;7.8;0.6;1
6;Газпромнефть;2017.0;2564.0;2000.0;118.0;17.1;1.0;1.0;6.2;1.3;1
7;Полюс золото;1871.0;2027.0;364.0;119.2;15.7;5.1;11.4;7.5;0.6;1
8;Яндекс;1642.0;1487.0;218.0;21.0;78.1;7.5;8.3;29.9;-3.1;4
