Id;Ticker;Description;Sector;Country;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
238;APTK;PHARMACY CHAIN 36;Retail Trade;Russian Federation;Drugstore Chains;13.328;-2;85650;101790000000;;-0.3157000;;86.18;3.82;362748.5556000;145682.6667000;-0.3135000;-0.1187086;1.2345257;-8.7158135;0;0.0000000;;0.0000000;6226000000;23.1840000;;-0.3135000;;-0.3157000;;3381000000;21.7714620;8549000000;;39267000000;21.4031710;48712000000;-2134000000;-2.5262943;3.0712812;-1.6375073;;;;2.5969164;2.3165048;;0.8258208;-2.2792023;;-5.5377230;;5856408438;54428000000;30336000000;49715000000;60132000000;60132000000;39267000000;7630430000;1.2629680;1.0386544;1141543;13.3666667;-0.2096436;-5.1387900
239;DSKY;DETSKY MIR PUBLIC;Retail Trade;Russian Federation;Apparel/Footwear Retail;140;-1;2641390;101302000000;;;;161.96;70.52;2214053.7780000;1859796.0000000;9.1878000;-3.6107909;0.9835544;-47.7154973;-7775000000;13.6500000;;8.1339360;;5.8494600;;9.1878000;2.2158040;;2.4290010;0;;33560000000;7868000000;142882000000;35.1664836;60873000000;6749000000;;;;;;13.7497000;;0.7093604;0.1204200;1.6270608;7.1171337;;18.4562795;;452024869;96300000000;48802000000;61887000000;99626000000;97597000000;142882000000;739000000;1.9365172;1.6768819;369794600;139.1266667;15.1505182;2.7900147
240;GLTR;GLOBALTRANS INVEST;Transportation;Cyprus;Railroads;576.2;2;170650;99645730203;9.0782875;61.0798015;;590.00;433.70;263369.2222000;142622.3333000;60.5620507;70.4580112;0.8089270;0.6332655;-17008549764;70.4857063;;12.5061360;27545506020;4.1383100;;60.5620507;;61.0798015;;0;31.5563513;21980246870;;69893487534;79.5287933;28443331732;10822845519;15.5715251;28.0782536;24.5227680;2.1145943;;;1.4131841;1.4177562;;0.9781163;9.9997475;20.3205701;13.9196396;;178655285;98611225429;12035615585;33421972078;45834037734;45834037734;69893487534;178664039;6.1151079;2.8663939;98328530;574.0666667;;26.4289633
241;GCHE;CHERKIZOVO GROUP;Process Industries;Russian Federation;Agricultural Commodities/Milling;2377;1;5853;95598500599;6.2989051;369.7468000;;2550.00;441.20;8860.1555560;4141.4333330;369.7468000;143.7303558;1.1360361;0.9901672;-4503000000;182.7900000;134.0000000;7.2653500;23131000000;6.2412000;145932000000;369.7468000;;369.7468000;;1628000000;24.4054875;30336000000;7896000000;128803000000;75.1186323;64477000000;15177000000;11.7831106;11.5649480;11.4011320;1.3382960;1.1337300;60.3471000;0.7422071;0.7422071;0.3484797;1.1171127;9.7690181;23.0237109;13.8435227;;1315269;166269000000;56603000000;71195000000;94367000000;94367000000;128803000000;41047000;1.9345238;1.5278183;13912581;2375.5000000;33.8024205;20.4764318
242;AVAN;AVANGARD JSB;Finance;Russian Federation;Regional Banks;1190;1;1183;93611996460;;;;1435.00;180.00;414.4777778;218.6666667;;79.6881378;1.3859904;0.2060693;;;;5.8750000;;;;;;;;0;;;;;88.8243891;-13409763000;;;;;;;;;;;3.5114277;4.2220111;19.3734802;19.3658975;;14445;124972000000;83366795000;5398060000;;98777025000;;80700000;1.2658228;1.6026526;1407770;1191.6666670;63.0136986;13.3333333
243;CHEP;CHELYABINSK PIPE;Producer Manufacturing;Russian Federation;Miscellaneous Manufacturing;308.5;2;1550;93543073792;14.9788534;20.4288000;;335.00;20.55;4724.8888890;2293.3333330;20.4288000;3.6313245;1.4725094;10.8945455;-5463000000;6.5500000;;2.1405230;27207000000;5.6982000;;20.4288000;;20.4288000;;7020000000;29.6088535;39613000000;;137979000000;57.3999077;78718000000;6245000000;4.5260511;13.8883453;6.1154234;11.8784854;;;0.6779516;0.6779516;;1.3091216;4.4409205;92.3338508;7.9819527;;7238576;133148000000;65375000000;86884000000;125173000000;125173000000;137979000000;305696000;1.4754098;1.3975487;478175;307.6666667;47.2553699;21.9367589
244;MSNG;MOSENERGO;Utilities;Russian Federation;Electric Utilities;2.1965;-1;9215000;87706963584;7.4393122;0.2966000;;9.05;0.49;10931900.0000000;11494266.6700000;0.2024000;0.0148456;5.6108544;0.0621720;-4766000000;0.1794500;0.0000000;8.1327900;38912000000;2.7981900;98676700000;0.2024000;;0.2966000;;0;10.8209761;17657000000;14006000000;180908000000;48.7529200;8049000000;8045000000;5.9199261;7.8120528;7.1306260;0.2659472;0.2670160;7.2543800;0.4404225;0.4848109;4.8025605;1.3556255;2.8349335;3.5105273;3.2667867;;7831903781;414049000000;100799000000;21102000000;77200000000;74636000000;180908000000;39749400000;2.4880164;1.6047466;20240748;2.2106667;1.8784787;6.2908299
245;POGR;PETROPAVLOVSK PLC;Non-Energy Minerals;United Kingdom;Precious Metals;22.26;-1;5310400;86867895749;;-1.0110559;8860;41.17;21.77;7351961.1110000;6867386.6670000;-1.0110559;-1.0814687;1.8783323;0.8042436;0;0.0000000;;0.0000000;25724592167;6.0395400;;-1.0110559;0.4437864;-1.0110559;0.3652685;0;31.6705855;24678631394;;77939682521;30.0868081;37334178876;-3597874765;-4.6155102;19.3455709;-2.4757569;1.8025092;;253.3200000;1.1168840;1.0236859;;0.6745652;-2.6741377;-7.4379292;-3.9198610;8796803.8960000;2268607917;128033000000;28830126019;39952813252;78355703237;78355703237;77939682521;3957270000;2.3318995;2.6577256;118209504;22.3150000;-38.0289498;-28.5393258
246;YAKG;YAKUTSK FUEL & ENE;Energy Minerals;Russian Federation;Oil & Gas Production;93.9;-1;12700;79136181430;121.3696893;0.7885000;;140.70;2.00;15308.8888900;11283.3333300;0.7888000;-6.2291301;3.2565104;0.6223853;0;0.0000000;;0.6374086;3295000000;14.1775000;;0.7888000;;0.7885000;;0;63.2640102;3985000000;;6299000000;28.2106383;4343000000;652000000;10.3508493;46.0390538;14.6689951;6.6747806;;;12.5632933;12.5581372;;1.3879781;2.5168401;5.6477110;3.9154456;;188874088;22926000000;7503000000;7379000000;11070000000;11070000000;6299000000;826919000;2.3783784;3.0324122;1192530;93.7000000;119.9063180;76.5037561
247;LSRG;LSR GROUP;Finance;Russian Federation;Real Estate Development;771;0;148170;78529634966;6.4028531;120.0090000;;2400.00;101.00;160071.2556000;93775.6000000;120.0090000;26.9515357;2.7681494;1.1386163;-5031000000;59.0000000;;7.7407503;22425000000;5.2376300;;120.0090000;;120.0090000;27.5000000;3335000000;32.8456951;38775000000;;118052000000;60.7991024;30640000000;12025000000;10.1861891;17.3694643;13.4093450;0.8393759;;;0.6522064;0.6522064;;1.4714806;4.1369085;13.6929366;6.8701134;;48108004;300877000000;252840000000;104443000000;209149000000;209149000000;118052000000;103030000;1.8167662;1.6106067;114239070;775.4000000;0.0259484;-11.1341612
