ID;Ticker;Description;Country;Sector;Industry;Last;Rating;Volume;Market Capitalization;Price to Earnings Ratio (TTM);Basic EPS (TTM);Number of Employees;All Time High;All Time Low;Average Volume (90 day);Average Volume (30 day);Basic EPS (FY);Bull Bear Power;Current Ratio (MRQ);Debt to Equity Ratio (MRQ);Dividends Paid (FY);Dividends per Share (FY);Dividends per Share (MRQ);Dividends Yield (FY);EBITDA (TTM);Enterprise Value/EBITDA (TTM);Enterprise Value (MRQ);EPS Diluted (FY);EPS Diluted (MRQ);EPS Diluted (TTM);EPS Forecast (FQ);Goodwill;Gross Margin (TTM);Gross Profit (FY);Gross Profit (MRQ);Last Year Revenue (FY);Money Flow (14);Net Debt (MRQ);Net Income (FY);Net Margin (TTM);Operating Margin (TTM);Pretax Margin (TTM);Price to Book (FY);Price to Book (MRQ);Price to Free Cash Flow (TTM);Price to Revenue Ratio (TTM);Price to Sales (FY);Quick Ratio (MRQ);Relative Volume;Return on Assets (TTM);Return on Equity (TTM);Return on Invested Capital (TTM);Revenue per Employee (TTM);Shares Float;Total Assets (MRQ);Total Current Assets (MRQ);Total Debt (MRQ);Total Liabilities (FY);Total Liabilities (MRQ);Total Revenue (FY);Total Shares Outstanding (MRQ);Volatility;Volatility Month;Volume*Price;Volume Weighted Average Price;Yearly Performance;YTD Performance
37;RTKMP;ROSTELECOM;Russian Federation;Communications;Specialty Telecommunications;85,35;-1;149310;3,14E+11;10,49681654;8,5073;;96,349998;48,380001;231161,5556;285884,3333;7,4242;-1,23783343;0,6349279;2,2158274;-16664000000;5;;5,8548007;1,88E+11;4,22227;;7,3174;3,4;8,1358;2,290388;45297000000;27,97424421;1,12E+11;32914000000;5,47E+11;25,67651421;4,82E+11;23311000000;4,91642649;11,52424296;6,8667741;1,58981476;;;;0,49746487;0,5841542;0,59560328;2,88705488;14,85957281;4,46208547;;100390159,1;1,01E+12;1,37E+11;5,10E+11;7,53E+11;7,78E+11;5,47E+11;3353319763;1,17577895;1,28753861;12743608,5;85,48333333;-3,23128923;-0,29205375
38;RTKM;ROSTELECOM;Russian Federation;Communications;Specialty Telecommunications;93,37;-1;1177350;3,14E+11;11,54403992;8,5073;;350,0499878;4;2064156,889;2087762,667;7,4242;-2,54436682;0,6349279;2,2158274;-16664000000;5;;5,32368;1,88E+11;4,41111;;7,3174;3,4;8,1358;2,290388;45297000000;27,97424421;1,12E+11;32914000000;5,47E+11;25,499346;4,82E+11;23311000000;4,91642649;11,52424296;6,8667741;1,74842391;;;;0,54709486;0,5841542;0,58009482;2,88705488;14,85957281;4,46208547;;1185614488;1,01E+12;1,37E+11;5,10E+11;7,53E+11;7,78E+11;5,47E+11;3353319763;0,87059329;1,50670292;109929169,5;93,42;-4,47104368;-3,26356931
39;AFKS;SISTEMA PJSFC;Russian Federation;Communications;Wireless Telecommunications;29,563;-1;34895400;2,88E+11;39,3404847;0,7551;;49;3,41;35095537,78;28037060;0,7551;-0,03008134;0,7662065;10,18603213;-39661000000;0,31;;1,0402685;2,23E+11;4,81875;;0,7551;;0,7551;0,439;57204000000;34,8568446;2,41E+11;;6,92E+11;34,92201054;7,70E+11;7094000000;1,02569886;14,85904231;6,78271204;4,35472238;;19,9893;0,40305671;0,40351423;;1,25372349;0,52844803;13,35693171;0,92395297;;3090759900;1,42E+12;3,74E+11;8,90E+11;1,33E+12;1,33E+12;6,92E+11;9650000000;3,48813559;2,05860997;1031612710;29,864;44,31534565;2,96750374
40;RSTI;ROSSETI;Russian Federation;Utilities;Electric Utilities;1,3148;-1;162868000;2,65E+11;5,99545248;0,2199;652;5,73481865;0,29;176221044,4;135503166,7;0,2187;0,01247152;0,72870564;0,33136374;-17900000000;0,024533;;1,8691809;2,80E+11;4,47417;1,19E+12;0,2187;;0,2199;;0;22,40212673;2,24E+11;70976000000;1,00E+12;38,28697553;4,61E+11;43872000000;4,30379006;13,4766109;8,48826886;0,21753945;0,244051;;0,25799767;0,26405993;0,6196267;1,15302656;1,61405836;3,59035335;2,55341488;1536069018;19532067408;2,76E+12;2,93E+11;5,52E+11;1,16E+12;1,09E+12;1,00E+12;1,99E+11;2,98094653;1,89665596;214138846,4;1,31893333;-18,71406491;-25,72590668
41;RSTIP;ROSSETI;Russian Federation;Utilities;Electric Utilities;1,922;0;3210000;2,65E+11;8,48112779;0,2199;652;5,79099989;0,406;2904288,889;3030333,333;0,2187;0,03240959;0,72870564;0,33136374;-17900000000;0,024533;;3,154209;2,80E+11;4,80028;1,30E+12;0,2187;;0,2199;;0;22,40212673;2,24E+11;70976000000;1,00E+12;35,6605665;4,61E+11;43872000000;4,30379006;13,4766109;8,48826886;0,30772988;0,338588;;0,36496181;0,37353745;0,6196267;0,75958353;1,61405836;3,59035335;2,55341488;1536069018;;2,76E+12;2,93E+11;5,52E+11;1,16E+12;1,09E+12;1,00E+12;1,99E+11;2,1601686;2,13144241;6169620;1,918;-10,56305258;-12,67605634
42;FEES;FSK EES;Russian Federation;Utilities;Electric Utilities;0,2026;-2;1456380000;2,64E+11;4,40552017;0,0471;;0,481;0,029;1319508556;1515064333;0,0471;-0,00865299;1,35865074;0,25617517;-23042000000;0,016133;0,016133;7,7744584;1,18E+11;3,88691;4,88E+11;0,0471;;0,0471;;0;45,78136062;1,07E+11;21614000000;2,37E+11;33,35174686;2,07E+11;59379000000;25,02233422;32,6273472;31,85955568;0,27517704;0,295069;730,622;1,10257167;1,10257153;1,09136351;1,245622;4,51465672;6,41093743;5,20726592;;2,32E+11;1,34E+12;1,14E+11;2,44E+11;3,88E+11;3,88E+11;2,37E+11;1,27E+12;2,21736104;1,92914872;295062588;0,20311333;-0,38351854;-8,94382022
43;BANEP;BASHNEFT;Russian Federation;Energy Minerals;Integrated Oil;1003;-2;155485;2,29E+11;;-43,5517;;2163;681;78788,26667;120169,0667;-65,4777;-44,29534809;2,39100592;0,29142523;-18306000000;;0;0;46793000000;9,70756;3,59E+11;-65,4777;;-43,5517;;0;32,26252407;1,52E+11;53013000000;5,09E+11;14,28596671;1,38E+11;-11118000000;-1,47735718;0,32383989;-1,85993176;0,36607944;0,460509;;0,3448163;0,33913732;1,97338264;1,9815892;-0,91048106;-1,50304725;-1,2398014;;16275324,87;8,16E+11;2,42E+11;1,40E+11;3,17E+11;3,38E+11;5,09E+11;169797697;1,4985015;1,4952151;155951455;1006,333333;-26,46627566;-13,68330465
44;BANE;BASHNEFT;Russian Federation;Energy Minerals;Integrated Oil;1409;-1;3313;2,29E+11;;-43,5517;;4798;930;8985,722222;9064,366667;-65,4777;-30,15448021;2,39100592;0,29142523;-18306000000;;0;0;46793000000;12,2835;4,15E+11;-65,4777;;-43,5517;;0;32,26252407;1,52E+11;53013000000;5,09E+11;37,84697243;1,38E+11;-11118000000;-1,47735718;0,32383989;-1,85993176;0,50635288;0,578515;;0,47694217;0,46908713;1,97338264;0,59831684;-0,91048106;-1,50304725;-1,2398014;;3772319,409;8,16E+11;2,42E+11;1,40E+11;3,17E+11;3,38E+11;5,09E+11;169797697;1,28159487;1,86058767;4668017;1412;-19,09273615;-15,14604035
45;AKRN;ACRON;Russian Federation;Process Industries;Chemicals: Agricultural;6046;1;1315;2,25E+11;9,65560404;641,6043;;6982;840,09998;2238,055556;1869,833333;87,7074;65,72356577;0,86882507;1,4269346;-16448000000;30;;0,4950495;43871000000;9,90757;3,61E+11;87,6842;;627,6148;;0;49,42747654;54047000000;21078000000;1,20E+11;58,07291036;1,02E+11;3310000000;18,38653174;24,70761911;21,77501396;5,28129106;4,28994;;1,73362612;1,90849342;0,51200253;0,6498641;10,90819158;48,40905429;16,89170909;;2144533,331;2,25E+11;49404000000;1,14E+11;1,51E+11;1,45E+11;1,20E+11;37197900;0,8291874;1,79664335;7950490;6052;2,82312925;2,02497469
46;CBOM;CREDBK OF MOSCOW;Russian Federation;Finance;Regional Banks;6,563;-1;73784300;2,22E+11;;;;7,256;3,5;74962831,11;70404920;0,8976;0,03438053;0,67420136;6,25722543;0;0;0;0;;;1,27E+12;0,8976;;;;0;;;;1,83E+11;59,13047697;1,06E+12;26776000000;;;;1,03100929;1,11373;3,77332;;1,08324586;;0,93786754;1,00285358;14,66748104;6,02578557;;11824753484;3,14E+12;1,73E+12;1,19E+12;2,72E+12;2,95E+12;1,83E+11;33429700000;1,83094294;1,56658566;484246360,9;6,597;10,54404581;6,68075423
